Report on the BioLiP file

Number of proteins without metal ligands: 24013
Ligand;Size;Num of occurrences
"ECN";13;1
"ECO";9;1
"ED8";16;1
"EDG";8;1
"EDG";9;2
"EDJ";10;1
"EDO";2;12
"EDO";3;12
"EDO";4;9
"EDO";5;3
"EDO";6;2
"EDO";7;1
"EDO";8;1
"EDT";3;1
"EDT";4;2
"EDT";5;1
"EDT";6;1
"EDT";7;2
"EDT";8;1
"EDT";14;1
"EE1";7;1
"EE1";25;1
"EE5";11;1
"EEE";3;1
"EEE";8;1
"EEM";18;2
"EF2";2;1
"EF2";6;1
"EF2";8;1
"EF2";10;1
"EF6";8;1
"EF6";10;1
"EFE";10;1
"EFK";3;1
"EFO";4;1
"EFO";6;1
"EFO";10;1
"EGC";8;1
"EGC";11;1
"EGC";13;1
"EGM";8;1
"EGU";16;1
"EGV";5;1
"EGV";11;1
"EGY";2;8
"EGY";3;1
"EGY";4;5
"EGY";5;2
"EGY";6;5
"EGY";7;3
"EGY";9;1
"EH8";8;1
"EHZ";2;2
"EHZ";3;2
"EHZ";13;1
"EHZ";14;2
"EHZ";15;2
"EI7";5;1
"EIC";2;1
"EIC";3;2
"EIC";9;2
"EIC";11;3
"EIC";12;1
"EIC";13;1
"EIC";22;1
"EIJ";9;2
"EIP";12;1
"EIS";6;1
"EIS";16;1
"EJ1";5;1
"EJ1";19;1
"EJ4";14;2
"EKG";11;1
"EKG";18;1
"EL3";3;1
"EL3";4;1
"EL5";22;1
"EL6";2;2
"EL6";3;1
"EL6";5;1
"ELA";3;1
"ELA";4;1
"ELA";6;1
"ELA";13;1
"ELA";15;1
"ELB";16;1
"ELE";13;1
"ELO";25;1
"ELR";15;1
"ELU";11;1
"ELU";15;1
"ELZ";23;1
"EM2";12;1
"EMA";13;1
"EMO";16;1
"EMT";3;1
"EMT";8;1
"EMU";14;1
"EMZ";9;1
"EN6";24;1
"EN7";12;1
"EN9";11;1
"END";5;1
"END";7;1
"ENH";10;1
"ENO";5;1
"ENO";10;2
"ENO";14;1
"ENP";8;1
"EOH";2;2
"EOH";3;4
"EOH";4;2
"EOH";5;2
"EOH";6;2
"EOH";8;1
"EOI";12;1
"EOL";10;1
"EOQ";16;1
"EOT";6;1
"EP1";5;1
"EP1";7;1
"EP5";15;1
"EPB";8;1
"EPE";2;2
"EPE";3;3
"EPE";4;1
"EPE";5;4
"EPE";6;1
"EPE";7;3
"EPE";8;2
"EPE";9;1
"EPE";10;1
"EPH";3;1
"EPH";6;1
"EPH";8;1
"EPH";9;1
"EPH";17;1
"EPH";27;1
"EPJ";2;1
"EPJ";7;1
"EPL";8;1
"EPN";6;1
"EPS";9;1
"EPU";17;1
"EPU";18;1
"EPU";19;1
"EPY";17;1
"EPZ";18;2
"EPZ";19;1
"EQ2";11;1
"EQ3";3;1
"EQ3";26;1
"EQ7";9;1
"EQJ";5;1
"EQJ";16;1
"EQN";19;1
"EQP";12;1
"EQU";11;1
"ER3";2;2
"ER9";9;1
"ERG";2;3
"ERG";3;2
"ERG";4;3
"ERG";5;1
"ERG";11;2
"ERG";12;1
"ERG";13;1
"ERG";14;2
"ERG";15;2
"ERG";17;1
"ERG";18;1
"ERJ";2;1
"ERJ";5;1
"ERJ";14;1
"ERM";20;1
"ERT";12;1
"ERU";15;1
"ERY";13;1
"ERY";16;1
"ERY";17;1
"ESA";3;1
"ESA";7;1
"ESG";5;1
"ESJ";14;1
"ESL";15;1
"EST";4;1
"EST";6;1
"EST";10;1
"EST";12;1
"EST";13;2
"ESV";11;1
"ESY";2;1
"ET";4;1
"ET";5;1
"ET";6;1
"ET";9;1
"ET";11;1
"ET";13;1
"ET";14;1
"ET7";2;1
"ET7";10;1
"ETA";5;1
"ETA";6;3
"ETA";7;1
"ETF";6;2
"ETF";7;1
"ETF";8;1
"ETM";3;1
"ETM";6;1
"ETQ";14;1
"ETW";10;1
"ETY";10;1
"EU9";10;1
"EUJ";10;1
"EUJ";12;2
"EV1";9;1
"EV9";20;1
"EV9";23;1
"EV9";25;1
"EVA";12;1
"EVB";10;1
"EVM";14;1
"EVP";4;1
"EVS";16;1
"EVT";3;1
"EVV";15;1
"EVY";23;1
"EW5";14;1
"EWS";11;1
"EXF";15;1
"EXJ";14;1
"EXO";9;1
"EXU";10;1
"EY4";3;1
"EY4";4;1
"EY9";2;1
"EY9";3;1
"EYC";7;2
"EYR";2;1
"EYR";8;1
"EZ7";4;1
"EZ8";8;1
"EZ8";13;1
"EZA";5;1
"EZA";6;1
"EZA";10;2
"F";3;2
"F";4;2
"F";7;1
"F0G";2;1
"F0G";16;1
"F0R";9;1
"F0U";11;1
"F18";12;1
"F1L";17;1
"F1P";12;1
"F1P";16;1
"F1X";14;1
"F24";18;2
"F26";4;1
"F26";6;1
"F2P";16;1
"F2W";11;1
"F39";3;1
"F39";4;1
"F39";9;1
"F39";11;1
"F39";17;1
"F3S";2;5
"F3S";6;2
"F3S";7;1
"F3S";8;5
"F3S";9;9
"F3S";10;17
"F3S";11;14
"F3S";12;6
"F3S";13;3
"F3S";14;1
"F3V";7;1
"F3W";15;1
"F42";3;1
"F42";4;1
"F42";6;2
"F42";7;1
"F42";8;1
"F42";9;1
"F42";10;1
"F42";13;1
"F42";19;1
"F42";23;2
"F42";24;3
"F43";3;7
"F43";8;5
"F43";9;7
"F43";10;1
"F43";12;4
"F43";13;2
"F4E";6;1
"F4F";8;1
"F4O";15;1
"F4S";9;1
"F4S";10;1
"F4S";11;1
"F4W";9;1
"F4W";12;1
"F50";6;1
"F50";8;1
"F56";14;1
"F56";15;1
"F5D";29;1
"F5O";21;1
"F5S";17;1
"F6A";2;1
"F6C";2;5
"F6C";3;9
"F6C";4;4
"F6C";5;5
"F6C";6;2
"F6C";7;5
"F6C";8;6
"F6C";9;1
"F6C";10;1
"F6C";11;2
"F6C";13;1
"F6C";14;2
"F6C";15;1
"F6C";16;2
"F6C";17;2
"F6J";15;1
"F6L";16;1
"F6P";2;4
"F6P";7;2
"F6P";8;3
"F6P";9;1
"F6P";11;2
"F6P";12;4
"F6P";13;3
"F6P";14;2
"F6R";2;1
"F6R";13;3
"F6R";14;2
"F6R";15;1
"F6R";16;1
"F7N";16;1
"F7N";17;1
"F82";21;1
"F89";16;1
"F8G";3;1
"F8G";16;1
"F8I";16;1
"F8L";15;1
"F8U";3;1
"F8W";13;1
"F8Z";26;1
"F98";14;1
"F9E";10;1
"F9F";16;1
"F9N";11;1
"F9Z";15;1
"FA3";11;1
"FA5";20;1
"FAA";30;1
"FAD";2;51
"FAD";3;20
"FAD";4;12
"FAD";5;6
"FAD";6;4
"FAD";7;4
"FAD";8;5
"FAD";9;17
"FAD";10;13
"FAD";11;13
"FAD";12;14
"FAD";13;10
"FAD";14;10
"FAD";15;17
"FAD";16;23
"FAD";17;22
"FAD";18;16
"FAD";19;11
"FAD";20;21
"FAD";21;18
"FAD";22;15
"FAD";23;18
"FAD";24;27
"FAD";25;27
"FAD";26;17
"FAD";27;35
"FAD";28;49
"FAD";29;39
"FAD";30;51
"FAD";31;52
"FAD";32;68
"FAD";33;44
"FAD";34;42
"FAD";35;43
"FAD";36;33
"FAD";37;24
"FAD";38;5
"FAD";39;6
"FAD";41;1
"FAE";35;1
"FAH";3;1
"FAH";4;1
"FAH";5;1
"FAH";6;1
"FAH";9;1
"FAR";8;2
"FAR";9;1
"FAR";13;1
"FAS";33;1
"FAY";35;1
"FB2";3;1
"FB8";17;1
"FB9";15;1
"FBO";16;1
"FBP";2;2
"FBP";4;4
"FBP";5;1
"FBP";7;1
"FBP";11;2
"FBP";13;4
"FBP";15;1
"FBP";16;3
"FBP";17;4
"FBP";18;1
"FBX";3;1
"FBX";4;1
"FC6";4;2
"FC6";6;1
"FCA";2;1
"FCB";12;1
"FCD";9;1
"FCD";11;1
"FCN";5;2
"FCN";6;2
"FCO";10;2
"FCO";11;3
"FCO";12;4
"FD7";2;1
"FDA";9;1
"FDA";10;5
"FDA";11;2
"FDA";12;2
"FDA";13;1
"FDA";14;2
"FDA";15;2
"FDA";16;4
"FDA";17;2
"FDA";18;1
"FDA";20;1
"FDA";22;1
"FDA";25;1
"FDA";26;2
"FDA";27;2
"FDA";30;3
"FDA";31;2
"FDA";32;1
"FDA";33;1
"FDA";34;3
"FDA";36;1
"FDF";9;1
"FDF";14;1
"FDF";17;1
"FDP";2;2
"FDP";11;1
"FDP";12;1
"FDP";14;2
"FDP";15;2
"FDP";16;2
"FDS";9;2
"FE2";2;39
"FE2";3;76
"FE2";4;61
"FE2";5;21
"FE7";17;1
"FE9";25;3
"FEC";10;1
"FEC";16;1
"FEC";19;1
"FED";37;1
"FEG";5;1
"FEG";17;1
"FEG";18;1
"FEL";10;1
"FEO";2;1
"FEO";3;1
"FEO";5;1
"FEO";6;4
"FEO";7;1
"FEO";8;3
"FEO";9;1
"FER";2;1
"FER";3;1
"FER";4;3
"FER";7;1
"FER";8;1
"FER";9;2
"FER";11;2
"FER";12;1
"FER";14;1
"FER";16;1
"FES";2;3
"FES";3;8
"FES";4;11
"FES";5;6
"FES";6;24
"FES";7;33
"FES";8;94
"FES";9;54
"FES";10;39
"FES";11;20
"FES";12;2
"FFN";2;1
"FFN";7;1
"FFO";3;1
"FFO";5;1
"FFO";6;1
"FFO";12;1
"FFO";13;1
"FFQ";3;1
"FFQ";5;1
"FFQ";8;1
"FFT";11;1
"FFX";11;1
"FG4";19;1
"FGA";3;1
"FGD";4;1
"FGD";5;1
"FGG";15;1
"FGO";21;1
"FGR";18;1
"FGU";8;1
"FGX";17;1
"FHC";2;1
"FHC";4;1
"FHC";10;1
"FHJ";4;1
"FHJ";9;1
"FHK";3;1
"FHK";4;2
"FHK";5;1
"FI7";17;1
"FI8";2;1
"FI8";9;2
"FIC";5;1
"FIG";11;1
"FII";2;1
"FII";4;1
"FII";11;1
"FJF";15;1
"FJL";10;1
"FJV";7;1
"FK4";16;1
"FK5";2;2
"FK5";3;1
"FK5";4;1
"FK5";5;3
"FK5";7;1
"FK5";10;1
"FK5";11;2
"FK5";12;4
"FK5";13;3
"FKD";9;1
"FKP";9;1
"FL3";2;1
"FL3";4;1
"FL8";5;1
"FLC";3;3
"FLC";4;2
"FLC";6;5
"FLC";7;3
"FLC";8;5
"FLC";9;6
"FLC";10;1
"FLC";11;3
"FLC";12;2
"FLE";5;1
"FLI";25;1
"FLU";3;1
"FLU";6;1
"FLU";11;1
"FLU";12;1
"FLV";4;1
"FLV";8;1
"FM0";14;1
"FM4";10;1
"FM9";21;1
"FMA";8;1
"FMA";10;1
"FMA";15;1
"FMC";2;1
"FMC";12;1
"FMC";17;1
"FME";3;2
"FME";5;2
"FME";6;2
"FME";7;1
"FME";9;1
"FMN";2;12
"FMN";3;11
"FMN";4;19
"FMN";5;17
"FMN";6;31
"FMN";7;25
"FMN";8;11
"FMN";9;5
"FMN";10;11
"FMN";11;24
"FMN";12;23
"FMN";13;27
"FMN";14;25
"FMN";15;37
"FMN";16;34
"FMN";17;33
"FMN";18;46
"FMN";19;38
"FMN";20;41
"FMN";21;24
"FMN";22;20
"FMN";23;5
"FMN";24;3
"FMT";6;1
"FMZ";14;1
"FN6";18;1
"FNE";13;1
"FNR";4;1
"FNR";7;1
"FNR";12;1
"FNR";14;2
"FNR";16;1
"FNR";17;1
"FNR";18;1
"FNR";20;1
"FNR";21;1
"FNU";3;1
"FNU";14;1
"FNZ";6;1
"FO1";7;1
"FO1";16;1
"FO1";17;1
"FO1";19;1
"FO9";12;1
"FOA";6;1
"FOB";14;1
"FOC";8;1
"FOF";8;1
"FOF";10;1
"FOF";13;1
"FOH";12;1
"FOK";5;1
"FOK";8;1
"FOL";15;1
"FOM";6;1
"FOM";11;1
"FOM";12;2
"FON";3;1
"FON";6;1
"FON";7;2
"FON";8;1
"FON";9;1
"FON";11;1
"FON";12;1
"FON";13;1
"FON";15;1
"FON";17;1
"FON";18;1
"FON";23;1
"FOQ";13;1
"FOU";9;1
"FP0";12;1
"FPF";10;1
"FPF";18;1
"FPG";14;1
"FPP";2;1
"FPP";5;1
"FPP";6;2
"FPP";9;1
"FPP";11;1
"FPP";16;1
"FPP";18;1
"FPS";7;1
"FPS";8;1
"FPS";11;1
"FPS";12;1
"FPS";13;1
"FPS";15;2
"FPS";17;2
"FPS";18;1
"FQ0";19;1
"FQ8";16;1
"FRB";12;1
"FRE";10;1
"FRS";20;1
"FRU";2;20
"FRU";3;24
"FRU";4;20
"FRU";5;15
"FRU";6;14
"FRU";7;13
"FRU";8;10
"FRU";9;4
"FRU";10;4
"FRU";11;8
"FRU";12;3
"FRU";13;4
"FRU";14;1
"FS0";6;1
"FS2";10;2
"FS5";17;1
"FSA";7;1
"FSA";10;1
"FSC";2;2
"FSC";12;1
"FSE";13;1
"FSI";14;1
"FSO";8;1
"FSO";11;1
"FSX";2;1
"FSX";12;1
"FSY";17;1
"FSZ";9;1
"FT8";16;1
"FTJ";6;1
"FTJ";8;1
"FTM";4;2
"FTV";11;1
"FU0";7;1
"FUA";4;1
"FUA";10;1
"FUA";11;1
"FUB";9;1
"FUB";10;1
"FUB";12;2
"FUC";2;137
"FUC";3;85
"FUC";4;53
"FUC";5;29
"FUC";6;11
"FUC";7;7
"FUC";8;6
"FUC";9;5
"FUC";10;1
"FUD";12;2
"FUD";13;2
"FUH";18;1
"FUL";2;11
"FUL";3;6
"FUL";4;2
"FUL";5;1
"FUL";6;3
"FUL";7;4
"FUL";8;1
"FUL";9;1
"FUL";10;1
"FUM";2;5
"FUM";3;1
"FUM";4;6
"FUM";5;1
"FUM";6;1
"FUM";7;4
"FUM";9;3
"FUM";11;2
"FUM";12;1
"FUN";2;1
"FUN";9;1
"FV1";13;1
"FW6";3;1
"FW6";10;1
"FWE";29;1
"FWF";9;1
"FWF";10;1
"FWK";12;1
"FWN";4;1
"FWO";17;1
"FWQ";15;1
"FWZ";14;1
"FX0";7;1
"FX0";13;1
"FX3";6;1
"FX4";10;1
"FX6";10;1
"FYJ";13;1
"FYP";4;1
"FZ4";2;1
"FZ4";3;1
"FZ4";5;1
"FZ4";7;1
"FZ4";8;1
"FZ4";9;1
"FZ5";16;1
"FZA";13;1
"FZQ";19;1
"G";3;1
"G";9;1
"G04";11;1
"G08";11;1
"G0F";3;1
"G0F";13;1
"G0R";12;1
"G16";18;1
"G1L";14;1
"G1P";6;1
"G1P";7;2
"G1P";8;2
"G1P";10;1
"G1P";11;1
"G1P";12;2
"G1P";14;1
"G1T";11;1
"G2A";15;1
"G2E";11;1
"G2F";9;1
"G2F";12;3
"G2O";2;2
"G2O";4;1
"G2O";6;1
"G2O";9;2
"G2O";10;2
"G2O";11;1
"G2O";13;1
"G2P";7;1
"G2P";8;1
"G2P";15;1
"G2P";17;1
"G2P";20;2
"G39";11;1
"G3D";9;1
"G3D";13;1
"G3D";14;1
"G3D";15;1
"G3H";6;1
"G3H";8;2
"G3H";9;1
"G3H";12;1
"G3P";6;1
"G3P";9;2
"G3P";10;1
"G3P";11;1
"G3P";12;4
"G3P";13;1
"G41";3;1
"G41";14;1
"G45";4;1
"G45";16;1
"G4D";2;4
"G4D";3;2
"G4D";4;1
"G4D";5;2
"G4D";6;1
"G4D";9;1
"G4P";2;2
"G4P";3;2
"G4P";4;2
"G4P";5;1
"G4P";6;2
"G4P";8;2
"G4P";9;1
"G4P";12;3
"G4P";13;3
"G4P";14;1
"G4P";15;3
"G4P";17;1
"G4S";3;1
"G4S";4;1
"G4S";6;1
"G4S";10;3
"G4S";12;1
"G4T";18;1
"G50";10;1
"G52";8;1
"G52";10;1
"G5A";19;1
"G5J";2;1
"G5J";11;1
"G5M";8;1
"G5O";14;1
"G6C";10;1
"G6D";3;2
"G6D";4;1
"G6D";5;1
"G6D";6;1
"G6L";10;1
"G6P";4;1
"G6P";5;1
"G6P";6;1
"G6P";8;1
"G6P";9;1
"G6P";10;4
"G6P";11;3
"G6P";12;7
"G6P";13;1
"G6P";14;2
"G6P";15;1
"G6P";17;1
"G6Q";2;1
"G6Q";12;2
"G6Q";13;1
"G6Q";14;1
"G6Q";18;1
"G6S";3;1
"G6S";13;1
"G6S";17;1
"G74";13;1
"G7A";10;1
"G7X";15;1
"G8C";2;1
"G8C";9;1
"G8J";11;1
"G8O";12;1
"G93";23;1
"G9C";19;1
"G9L";11;1
"G9R";2;1
"G9R";17;1
"G9R";21;1
"G9S";15;1
"G9V";14;1
"G9Z";12;1
"G9Z";18;1
"GA0";10;1
"GA3";13;1
"GA4";4;1
"GA4";10;1
"GA4";15;1
"GA4";17;1
"GA4";18;1
"GA7";14;1
"GA9";5;1
"GAB";2;1
"GAB";9;1
"GAD";5;1
"GAD";11;1
"GAF";11;1
"GAJ";15;1
"GAK";8;1
"GAL";2;69
"GAL";3;49
"GAL";4;31
"GAL";5;30
"GAL";6;42
"GAL";7;43
"GAL";8;30
"GAL";9;10
"GAL";10;11
"GAL";11;8
"GAL";12;10
"GAL";13;4
"GAL";14;1
"GAM";6;1
"GAP";16;2
"GAP";20;1
"GAQ";10;1
"GAR";11;1
"GAS";2;1
"GAS";7;1
"GAV";2;2
"GAV";9;1
"GAV";14;1
"GAV";16;1
"GAV";17;1
"GAW";17;1
"GAX";16;1
"GB";9;2
"GB0";8;1
"GB0";16;1
"GBF";2;1
"GBF";6;2
"GBF";7;1
"GBF";8;5
"GBF";9;2
"GBF";10;3
"GBF";11;3
"GBF";12;1
"GBF";13;2
"GBF";15;4
"GBF";17;1
"GBF";20;1
"GBL";2;1
"GBL";3;2
"GBL";5;1
"GBL";6;1
"GBL";8;1
"GBM";9;1
"GBM";11;2
"GBM";14;1
"GBM";15;1
"GBQ";20;1
"GBS";11;1
"GBS";12;1
"GBX";2;1
"GBX";13;1
"GC4";3;2
"GC4";4;1
"GC5";2;1
"GC9";10;1
"GCB";12;1
"GCB";13;1
"GCD";4;1
"GCD";5;1
"GCD";6;1
"GCD";7;2
"GCD";8;1
"GCD";9;1
"GCD";10;2
"GCG";9;1
"GCG";10;1
"GCH";5;1
"GCH";14;1
"GCH";15;1
"GCH";21;1
"GCN";2;1
"GCO";2;2
"GCO";3;1
"GCO";7;1
"GCO";15;2
"GCR";8;1
"GCS";2;2
"GCS";3;5
"GCS";4;3
"GCS";5;2
"GCS";6;3
"GCS";7;6
"GCS";8;3
"GCS";9;1
"GCS";10;4
"GCS";11;1
"GCS";12;2
"GCS";13;1
"GCU";2;3
"GCU";3;1
"GCU";4;1
"GCU";5;1
"GCU";6;1
"GCU";8;1
"GCU";9;1
"GCU";10;1
"GCU";13;1
"GCV";2;1
"GCV";6;2
"GCV";7;1
"GCV";9;2
"GCZ";9;1
"GD1";4;2
"GD1";7;1
"GD1";8;1
"GD7";7;1
"GD9";12;1
"GDC";27;1
"GDD";6;1
"GDD";11;2
"GDD";14;1
"GDD";15;1
"GDD";17;1
"GDD";21;2
"GDD";22;3
"GDD";27;1
"GDE";5;1
"GDE";9;1
"GDE";11;1
"GDE";13;1
"GDG";25;1
"GDL";10;2
"GDL";11;1
"GDN";11;1
"GDP";2;21
"GDP";3;6
"GDP";4;10
"GDP";5;4
"GDP";6;5
"GDP";7;2
"GDP";8;1
"GDP";9;4
"GDP";10;8
"GDP";11;7
"GDP";12;20
"GDP";13;43
"GDP";14;69
"GDP";15;62
"GDP";16;29
"GDP";17;31
"GDP";18;13
"GDP";19;12
"GDP";20;2
"GDP";21;1
"GDP";22;1
"GDR";20;1
"GDR";21;1
"GDS";3;2
"GDS";7;1
"GDS";11;1
"GDS";13;2
"GDS";14;1
"GDS";15;3
"GDS";16;2
"GDS";17;1
"GDS";21;1
"GDS";22;1
"GDU";10;1
"GDU";15;1
"GDU";16;1
"GDU";17;1
"GDU";19;2
"GDU";20;1
"GDU";22;2
"GDV";14;1
"GDX";10;1
"GDX";12;1
"GE0";18;1
"GEC";13;1
"GEK";19;1
"GEK";20;2
"GEL";13;1
"GEM";13;2
"GEN";3;1
"GEO";13;1
"GEP";10;1
"GER";5;1
"GER";7;1
"GER";10;2
"GER";11;2
"GER";12;1
"GER";13;1
"GES";15;1
"GET";2;1
"GEY";12;1
"GFB";16;2
"GFI";19;1
"GFR";12;1
"GG2";19;1
"GGB";4;1
"GGG";2;1
"GGG";3;2
"GGG";10;1
"GGL";2;1
"GGM";16;1
"GGM";23;1
"GGS";16;1
"GGU";13;1
"GH3";9;1
"GH3";10;2
"GH3";11;1
"GH3";14;1
"GH3";16;1
"GHD";13;1
"GI9";24;1
"GIF";9;2
"GIF";10;1
"GIM";7;1
"GIM";12;1
"GIV";7;1
"GIV";11;1
"GJ9";15;1
"GJ9";17;1
"GJY";19;1
"GK2";13;1
"GKR";15;1
"GKZ";6;1
"GKZ";7;1
"GL0";6;1
"GLA";2;8
"GLA";3;5
"GLA";4;3
"GLA";5;6
"GLA";6;10
"GLA";7;10
"GLA";8;7
"GLA";9;5
"GLA";10;10
"GLA";11;5
"GLA";12;3
"GLA";13;4
"GLC";2;117
"GLC";3;153
"GLC";4;131
"GLC";5;138
"GLC";6;95
"GLC";7;189
"GLC";8;111
"GLC";9;36
"GLC";10;25
"GLC";11;11
"GLC";12;11
"GLC";13;6
"GLC";14;8
"GLD";6;1
"GLJ";10;1
"GLN";2;3
"GLN";3;1
"GLN";4;3
"GLN";6;1
"GLN";8;3
"GLN";9;5
"GLN";10;5
"GLN";11;2
"GLN";12;10
"GLN";13;1
"GLN";15;1
"GLO";4;1
"GLP";2;1
"GLP";6;1
"GLP";10;1
"GLP";11;1
"GLP";12;1
"GLP";13;1
"GLP";14;1
"GLU";2;5
"GLU";3;12
"GLU";4;5
"GLU";5;11
"GLU";6;5
"GLU";7;6
"GLU";8;10
"GLU";9;10
"GLU";10;10
"GLU";11;10
"GLU";12;4
"GLU";13;1
"GLU";14;8
"GLU";15;1
"GLV";4;4
"GLV";5;1
"GLV";6;3
"GLV";7;1
"GLV";8;1
"GLV";9;2
"GLY";2;30
"GLY";3;35
"GLY";4;28
"GLY";5;24
"GLY";6;15
"GLY";7;12
"GLY";8;8
"GLY";9;2
"GLY";10;2
"GM0";3;2
"GM6";12;1
"GM6";13;1
"GMC";2;1
"GMH";2;2
"GMH";6;1
"GMH";7;1
"GMJ";16;1
"GMP";5;1
"GMP";10;3
"GMP";11;2
"GMP";13;2
"GMP";17;2
"GMT";16;1
"GMZ";2;1
"GN1";2;1
"GN1";6;2
"GN4";4;1
"GN4";6;1
"GN4";7;1
"GNH";16;1
"GNL";10;1
"GNP";2;4
"GNP";3;4
"GNP";4;1
"GNP";5;1
"GNP";7;1
"GNP";9;1
"GNP";10;1
"GNP";13;4
"GNP";14;6
"GNP";15;5
"GNP";16;4
"GNP";17;8
"GNP";18;11
"GNP";19;9
"GNP";20;6
"GNP";21;4
"GNP";22;11
"GNP";23;8
"GNP";24;3
"GNP";25;2
"GNS";4;1
"GNS";7;1
"GNW";9;1
"GNX";4;1
"GO9";4;1
"GOA";3;2
"GOA";4;2
"GOA";6;2
"GOA";7;2
"GOA";8;1
"GOF";17;1
"GOJ";9;1
"GOL";2;16
"GOL";3;38
"GOL";4;25
"GOL";5;26
"GOL";6;38
"GOL";7;22
"GOL";8;15
"GOL";9;5
"GOL";10;4
"GOL";11;3
"GOL";12;1
"GOT";16;1
"GP1";2;1
"GP1";3;1
"GP1";6;2
"GP5";23;1
"GP7";13;1
"GP9";6;1
"GPC";18;1
"GPE";2;1
"GPE";12;1
"GPG";8;1
"GPJ";11;1
"GPJ";13;1
"GPP";5;2
"GPP";7;1
"GPP";8;1
"GPP";9;1
"GPP";10;1
"GPP";11;2
"GPP";14;1
"GPP";15;1
"GPR";16;1
"GPS";10;1
"GPS";16;1
"GQ1";2;1
"GQ1";5;2
"GQL";15;1
"GRA";13;1
"GRA";20;1
"GRG";3;2
"GRG";13;3
"GRG";19;1
"GRH";12;1
"GRI";3;1
"GS0";2;1
"GS0";16;1
"GS0";20;1
"GS1";3;1
"GS1";6;2
"GS1";9;1
"GS8";3;1
"GS8";8;1
"GS8";9;1
"GS9";6;1
"GSF";11;1
"GSF";14;1
"GSH";2;19
"GSH";3;6
"GSH";4;8
"GSH";5;9
"GSH";6;8
"GSH";7;8
"GSH";8;16
"GSH";9;40
"GSH";10;45
"GSH";11;24
"GSH";12;25
"GSH";13;8
"GSH";14;4
"GSH";15;3
"GSH";16;3
"GSH";17;1
"GSH";19;1
"GSM";9;1
"GSM";14;1
"GSP";2;1
"GSP";4;4
"GSP";5;1
"GSP";7;1
"GSP";11;1
"GSP";12;2
"GSP";14;2
"GSP";15;1
"GSP";16;1
"GSP";18;4
"GSP";19;1
"GSP";23;2
"GSP";25;1
"GST";7;1
"GST";9;1
"GST";10;1
"GST";14;2
"GST";15;1
"GSU";20;1
"GT0";7;1
"GT1";11;1
"GTA";12;1
"GTA";14;1
"GTA";18;1
"GTB";12;1
"GTB";13;2
"GTB";15;1
"GTD";15;1
"GTG";10;1
"GTG";13;1
"GTG";14;1
"GTP";2;4
"GTP";3;11
"GTP";4;7
"GTP";5;3
"GTP";6;2
"GTP";7;4
"GTP";8;11
"GTP";9;6
"GTP";10;9
"GTP";11;10
"GTP";12;10
"GTP";13;10
"GTP";14;14
"GTP";15;7
"GTP";16;8
"GTP";17;10
"GTP";18;6
"GTP";19;17
"GTP";20;12
"GTP";21;4
"GTP";22;8
"GTP";23;5
"GTP";25;1
"GTQ";12;1
"GTR";2;1
"GTR";4;3
"GTR";6;1
"GTR";8;1
"GTR";12;1
"GTR";13;1
"GTR";14;3
"GTS";7;1
"GTS";8;1
"GTS";10;2
"GTS";11;3
"GTS";13;1
"GTX";2;2
"GTX";7;1
"GTX";9;1
"GTX";10;1
"GTX";13;2
"GTX";14;1
"GTX";16;1
"GTX";17;2
"GU1";2;1
"GU4";2;2
"GU4";3;2
"GU4";4;1
"GU4";5;1
"GU4";6;2
"GU4";7;2
"GU4";8;1
"GU6";7;1
"GUA";7;1
"GUE";6;1
"GUE";12;1
"GUN";5;1
"GUN";7;2
"GUN";11;1
"GUO";26;1
"GUP";4;1
"GUP";6;1
"GV6";18;1
"GVA";2;1
"GVA";10;1
"GVE";6;3
"GVE";9;1
"GVE";10;2
"GVM";9;1
"GVU";18;1
"GW7";20;1
"GW8";20;1
"GW9";6;1
"GX0";12;1
"GXL";2;1
"GXR";6;1
"GXT";3;1
"GY0";14;1
"GYP";9;1
"GYP";10;1
"GYU";2;2
"GYU";5;1
"GYU";6;1
"GYW";18;1
"GZL";12;1
"GZL";13;1
"GZM";11;1
"H03";13;1
"H13";16;1
"H1L";5;1
"H1L";6;1
"H1L";8;1
"H1L";11;1
"H1N";2;1
"H1U";9;1
"H25";2;1
"H2B";6;1
"H2G";8;1
"H2U";10;1
"H37";13;1
"H3M";7;1
"H3T";18;1
"H3X";16;1
"H43";12;1
"H46";19;1
"H4B";4;1
"H4B";5;6
"H4B";6;2
"H4B";8;1
"H4M";2;1
"H4M";3;1
"H4M";9;1
"H4M";10;1
"H4M";11;1
"H4M";15;1
"H4X";2;1
"H4X";3;1
"H4X";4;2
"H4X";5;3
"H4X";6;1
"H4X";7;1
"H4X";8;2
"H4X";18;1
"H4Z";9;1
"H52";13;1
"H56";16;1
"H5E";9;1
"H5J";6;1
"H5L";21;1
"H5O";13;1
"H6P";7;1
"H6P";11;1
"H6Q";14;1
"H6U";15;1
"H6Z";14;1
"H7N";7;1
"H7N";8;1
"H7S";2;2
"H7S";10;1
"H7S";11;1
"H7Y";12;1
"H88";16;1
"H89";15;1
"H8A";12;1
"H8E";17;1
"H8N";12;1
"H8O";12;1
"H94";3;1
"H94";15;1
"H95";7;1
"H98";19;1
"H9A";6;1
"H9J";13;1
"H9R";5;1
"H9U";14;1
"H9V";4;1
"HAG";13;1
"HAH";13;1
"HAL";6;1
"HAL";8;1
